@relation TEXTvsAUTHOR

@attribute title string
@attribute Class {"daniel buarque", "josias souza", "leonardo sakamoto", "carlos melo"}
@attribute date string
@attribute content string

@data
'repercussao mundial pm matou ladrao expoe violencia brasil','daniel buarque','14/05/2018','o brasil imagem ligada violencia ganharam atencao especial midia internacional neste inicio semana caso policial militar reagiu tentativa assalto matou ladrao suzano sp ganhou grande repercussao midia estrangeira relato caso reproducao video varios veiculos imprensa varios paises mundo apesar violencia caso repercutiu especialmente jornais sites populares alem tabloides historia apresentada caso heroismo excepcional cabo katia silva sastre atirou assaltante chamada heroina corajosa tabloides britanicos exemplo momento tentativa assalto homem armado contra criancas familias frustrada mae esperava policial armada folga diz daily mail segundo destaca fato tentativa assalto ocorreu frente criancas maes homem armado apontou revolver maes ameacou seguranca levando carteira telefone diz relato internacional caso ganhou atencao ultimos anos conta crise violencia frequentemente primeiras associacoes estrangeiros fazem pensar brasil casos excepcionais assim destacados jornais populares potencial marcar imagem pais analises aprofundadas causas alto numero homicidios brasil casos peso politico forte pergunte estrangeiro vem mente pensa brasil adolescente armado usando sandalias pode estar atras jogadores futebol passistas carnaval biquini reportagem alto numero homicidios brasil impacto disso forma pais visto exterior'
'escola partido ameaca relacoes academicas brasil mundo','daniel buarque','09/05/2018','a interferencia governo aplicacao conteudo curricular salas aula escolas universidades brasileiras pode vir ameacar relacoes academicas brasil resto mundo liberdade autonomia professores pesquisadores vista exterior condicao intercambio experiencias educacionais exista funcione forma plena avancando educacao pais projetos vao contra liberdade interpretados problema intercambio neste sentido capitaneado bancada evangelica comissao especial destinada analisar proposta camara parece passo vai contra relacoes internacionais academicas pais pode atrapalhar avanco educacao nacional indica polemica vem sendo alvo protestos acordo criticos cerceia direito professores livre catedra 2016 pgr procuradoria geral republica manifestou contra inclusao projeto base nacional curricular afirmando proposta inconstitucional apesar texto debate camara indicar professor deve fazer propaganda politico partidaria projeto visa censura parte estado definir podera discutido ensinado escolas livros didaticos concursos publicos fere diretamente liberdade expressao pedagogia pesquisa academica defendidos constituicao apoiados academicos estrangeiros apresentacao universidade yale eua inicio semana democracia segundo esforcos direita forcas religiosas fundamentalistas organizadas atraves escola partido atacam estudos genero discussoes homofobia outras questoes giram torno questoes democracia inclusao luta contra legados racismo sexismo desigualdades economicas discriminacao tao profundamente enraizados cultura brasileira green fala representante academicos americanos voltados relacoes brasil explica tentativas controlar conteudo curricular pais podem levar muitos brasilianistas deixar considerar construcao parcerias pesquisadores brasil relacoes academicas pesquisadores brasil resto mundo fundamentais desenvolvimento aprimoramento educacao qualidade brasil medidas limitam relacoes podem fazer brasil ficar isolado limitaria avanco ensino pesquisa pais poderia interpretado retrocesso'
'estudos brasileiros eua tempos crise anos 1960 70 hoje','daniel buarque','09/05/2018','o professor james n green universidade brwonquero agradecer david jackson stuart schwartz convidarem evento estudos brasileiros estados unidos estrada adiante E continuacao valida conversas paulo almeida realizou embaixada brasil washington final anos 1990 inicio anos 2000 conferencia brazilian studies association brasa organizou universidade brown futuro estudos brasileiros 2006 marshall eakin escreveu excelente relatorio relevante hoje E util periodicamente continuar discussao prazer fazer parte desta conversa independentemente posicoes politicas alguem possa ter situacao atual brasil acho maioria estudiosos observadores concordaria pais crise grande polarizacao ideologica desencantamento politica politicos lento crescimento economico desemprego dois digitos violencia continua morte dezenas milhares afro brasileiros centenas pessoas lgbt assassinato marielle franco assim outros lideres rurais indigenas perspectivas preocupantes proximas eleicoes tudo antecipa tempos dificeis frente efeito direto sala aula estudos brasileiros estados unidos retrato excessivamente otimista possibilidades brasil durante anos lula substituido resposta sobria cinica repetitivo adagio proclamar brasil pais futuro estudantes economia queriam aprender portugues encontrar posicao consultor paulo agora estao procurando outras oportunidades jovens estudantes idealistas ciencias sociais fascinados movimentos sociais base brasil ongs criativas agora perguntam seguro fazer pesquisa brasil tendencias recentes brasil desapareceram embora interesse pais desaparecido perspectiva sempre otimista acredito crescera novamente futuro fato apesar conjuntura bastante dificil estudos brasileiros estados unidos cresceram significativamente duas ultimas decadas acredito vai resistir tempestade brazilian studies association exemplo preparando xiv conferencia internacional puc rio janeiro julho 2018 800 participantes cadastrados provavelmente 1 000 participantes universidade texas austin sediara xv conferencia internacional brasa 2020 devido forte lideranca pessoas marshall eakin universidade vanderbilt jan hoffman french universidade richmond bryan mccann georgetown numero significativo academicos atuaram comite executivo ultimas duas decadas brasa financeiramente estavel internacionalmente reconhecida organizacao profissional desempenhando papel significativo promocao estudos brasileiros neste pais tambem satisfeitos gladys mitchell walthour universidade wisconsin milwaukee primeira presidente afro descendente associacao brasa trabalhou conscientemente diversificar significativamente corpo lideranca alem disso proximo ano nova associacao europeia abre association of brazilianists in europe realizara segunda conferencia internacional paris todos sabemos internet acelerou oportunidades comunicacao colaboracao internacional universidades brasileiras esforcos internacionalizacao entraram contato serie instituicoes eua aprofundar lacos conexoes aqui convidado membro conselho editorial menos periodico academico brasileiro ultimos tres anos embora financiamento governamental brasileiros estudam exterior diminuido continua havendo fluxo importante academicos estados unidos enriquecem programas conhecimento brasil planejado originalmente falar universidade brown trabalhado conscientemente elevar perfil academicos afrodescendentes brasileiros americanos trabalham brasil bem outros trabalham topicos enfocam afro brasileiros atraves abordagem sistematica plano estrategico inclui outras atividades convida los campus palestras workshops conferencias durante todo dia oportunidade falar outros insights acho podemos fortalecer estudos brasileiros estados unidos entanto importante questao expansao diversidade academia mim certeza todos nesta sala dado breve tempo atribuido gostaria abordar outra questao acredito crucial futura direcao estudos brasileiros estados unidos podem ignorados titulo ingles segunda monografia apesar voces oposicao ditadura militar estados unidos we can not remain silent podemos permanecer silencio refere declaracao distribuida 1970 grupo academicos americanos trabalhando brasil juntou clero outras figuras publicas denunciar pratica curso tortura contra opositores regime militar assinaram declaracao representantes principais igrejas protestantes figuras igreja catolica lideres direitos civis ralph abernathy andrew young richard morse universidade yale trecho dizia podemos permanecer silencio diante evidencia esmagadora flagrante negacao direitos humanos dignidade chegam ate brasil faze lo tornaria cumplices daqueles autores dessa repressao unica declaracao publica geracao anterior brasilianistas pioneiros eminentes assinaria 300 membros associacao estudos latino americanos protestaram contra expulsao forcada 70 academicos universidades brasileiras 1969 emilia viotti costa chegou yale fernando henrique cardoso fevereiro 1970 richard morse yale stanley j stein princeton charles wagley columbia thomas skidmore universidade wisconsin assinaram carta publicada new york times denunciando prisao condenacao estudioso marxista editor caio prado junior sob acusacao subversao embora graves violacoes direitos humanos regime militar sido foco principal dessas campanhas ataques autonomia universitaria liberdade academica controle autoritario instituicoes ensino superior tambem preocupacao notavel acoes muitas outras documentadas we can not remain silent representaram esforco base descentralizado academicos ativistas brasileiros viviam estados unidos falar situacao brasil livro argumento campanha opiniao publica modesta sido impacto generais poder fazendo analogia direta ditadura militar atual estado coisas brasil existem sinais preocupantes pais movendo direcao autoritaria assim centenas outros brasilianistas estados unidos pudemos continuar silencio soubemos ministro educacao decidiu violar longa tradicao autonomia universitaria liberdade expressao tentar proibir curso impeachment presidente dilma rousseff 2016 sob pretextos usar termo golpe titulo curso refletia agenda politica uso politica partidaria sala aula devo acrescentar hoje tempo falar outros esforcos direita muitas vezes forcas religiosas fundamentalistas organizadas atraves escola partido atacar estudos genero discussoes homofobia outras questoes giram torno questoes democracia inclusao luta contra legados racismo sexismo desigualdades economicas discriminacao tao profundamente enraizados cultura brasileira entanto coisa movimento social direita tentar censurar conteudo professores escolas secundarias universidades grave tentativa governo fazer respeito diretores brazilian studies association enviaram carta ministro educacao brasileiro jose mendonca filho 28 fevereiro 2018 repudiando pedido investigacao professor luis felipe miguel departamento ciencia politica universidade brasilia alegada improbidade administrativa oferecer curso intitulado golpe 2016 futuro democracia brasil cito carta apelo investigacao federal excesso chocante clara violacao liberdade academica lembra abusos ditadura militar brasil carta continua indicando artigo 206 secao ii constituicao federal brasileira concede autonomia academica universidades brasileiras garante liberdade expressao pedagogia pesquisa academica quase centena brasilianistas estados unidos assinaram declaracao similar 4 marco ecoando carta brasa concluiram embora ministerio educacao recuado dessa ordem arbitraria acao envia mensagem alarmante estudiosos exterior desejam apoiar colegas brasileiros defesa liberdade academica autonomia universitaria infelizmente excesso governo inspirou funcionarios estado bahia ceara rio grande sul mencionar apenas tres exemplos tentar reduzir autonomia universitaria liberdade academica sinceramente espero ministerio educacao realmente mudado politica relacao tentativas controlar conteudo curricular pois apenas nesse contexto muitos brasilianistas acredito podem considerar construcao parcerias'
'crise corrupcao agencia ve fim tabu privatizacao brasil','daniel buarque','08/05/2018','em ano grande polarizacao eleitoral tema passado polemicos disputas politicas brasileiras perdeu estigma pais segundo privatizacoes deixaram tabu brasil privatizacao palavrao brasil ano eleitoral diz titulo texto assinado chefe escritorio agencia brasilia raymond colitt corrupcoes falencia cofres estado estao forcando nova forma pensar brasil resume artigo lista serie politicos candidatos proxima eleicao falado abertamente venda estatais incluindo geraldo alckmin psdb passado precisou fazer campanha negando intencao privatizar segundo agencia privatizacoes opcao conta altos impostos pagos brasileiros troca servicos pouca qualidade excesso burocracia sistema atual torna pais pouco competitivo bloomberg admite entretanto aposta tanto incerta politicos estao confiando raiva corrupcao pior recessao registrada vazio cofres publicos podem ajudar provocar mudanca atitudes eleitores relacao privatizacao E aposta arriscada dada pesquisa recente mostra 7 10 brasileiros opoem ideia especialmente pobres menos instruidos diz muitos candidatos falam abertamente ideia privatizar bloomberg diz ciro gomes principal nome tentar aproveitar rejeicao processo assim artigo alega clima mudou mercado acreditado fim tabu vai permitir maior dialogo privatizacoes brasil futuro artigo faz sentido considerando bloomberg agencia noticias economia publico alvo justamente investidores internacionais poderiam ter interesses diretos privatizacoes brasil dia agencia publicou artigo chefe escritorio brasilia privatizacoes colunista mac margolis mesma bloomberg trata assunto aproxima margolis fala aumento investimentos privados educacao pais potencial ajudar melhorar formacao brasileiros segundo colunista salas aula brasil precisam capitalismo'
'crise politica faz brasil buscar versao tropical macron diz le monde','daniel buarque','07/05/2018','na semana presidente emmanuel macron completa ano poder franca apesar sofrer fortes criticas enfrentar protestos estar sob pressao politica internamente jornal indica franca atrai atencao forma positiva presidente frances busca desesperada macron brasileiro motivo franca principais partidos esquerda pt direita psdb estao passando crise existencial batalha eleitoral sendo travada extremos pt endurece tom esquerda enquanto candidato direita jair bolsonaro decola pesquisas polarizacao deixa campo aberto candidato centro disse guillaume liegey cuja empresa analise dados estatisticos lmp apoiou candidato macron segundo reportagem admiracao macron certos setores pais gerada interesses economicos existe parte problemas proprio brasil brasil complexado onde autodepreciacao leva preferir sistematicamente vem exterior especialmente estrangeiro pertence primeiro mundo oposicao terceiro mundo chegada espetacular emmanuel macron poder eliseu criou fantasias diz apesar tom critico avaliacao faz sentido contexto pre eleitoral brasil alem macron outro lado entretanto comparacao candidatos brasileiros lideres outros paises vem tambem analises internacionais muitas vezes exemplo existente serve ajudar explicar acontecendo brasil ano eleitoral complexo vem desenhando'
'mudanca foro privilegiado leva medo congresso diz financial times','daniel buarque','04/05/2018','a deputados federais senadores deixou congresso brasileiro medo segundo publicacao mudanca politicos brasileiros vao perder protecao chave responsavel promover impunidade poderosos pais decisao potencialmente abre caminho centenas casos estao sendo conduzidos stf relacionados maior investigacao corrupcao brasil lava jato podem passadas juizes sergio moro temido magistrado lidera investigacao diz ft segundo jornal anuncio presidente camara rodrigo maia deve instalada comissao discutir emendas constitucionais relacionadas foro privilegiado estao vistas retaliacao contra supremo alem ft outros jornais tambem deram destaque decisao stf texto agencia noticias associated press washington post alega mudanca foro privilegiado pode resultar processos rapidos contra politicos brasileiros'
'decadencia imagem brasil drastica diz noam chomsky','daniel buarque','02/05/2018','em linguista icone pensamento esquerda mundo noam chomsky avaliou estado imagem internacional brasil segundo percepcao pais exterior vive decadencia drastica iniciativas lula coordenacao ministro relacoes exteriores altamente eficiente celso amorim transformaram brasil atores influentes respeitados mundo brasil liderou movimento dar voz mundo desenvolvimento administracao global dando seguimento esforcos criar nova ordem economica internacional havia sido massacrada coalizao poder dinheiro capitaneada eua disse chomsky esperancas despedacadas destruicao parte autodestruicao pt reversao feitos imagem atual brasil festejada classes investidoras predadoras governos ligados preocupam direitos humanos justica social democracia decadencia imagem brasil drastica completou entrevistado reporter especial patricia campos mello chomsky comentou prisao ex presidente luiz inacio lula silva condenacao lula injusta vinganca classes dominantes inconformadas reformas governo petista linguista forma critica desde processo impeachment presidente dilma rousseff tom admite frequencia entretanto esquerda pais cometeu erros enquanto poder'
'violencia politica chocar parece ter virado algo normal brasil','daniel buarque','30/04/2018','a poucos meses eleicao presidencial deve decidir futuro brasil pais parece ter afundado nova realidade violencia politica virou algo normal repeticao casos absurdos ataques motivados polarizacao politica parece ter criado aceitacao pais agora assim noticiario internacional reflete cada vez menos surpresa tudo parece ter mudado rapidamente marco chocou resto mundo caso oficializou percepcao falencia seguranca brasil menos duas semanas caravana levava ex presidente luiz inacio lula silva alvejada tiros parana caso impressionou analisa situacao politica brasil partir perspectiva externa analise publicada incapaz dialogo politico cobertura internacional caso recente ataque contra acampamento apoiadores lula curitiba fim semana entretanto parece menos surpresa violencia politica brasil parece chocar ataque noticiado principais jornais internacionais tom geral parece noticia normal caso surpreende acaba sendo analisado profundamente maior parte veiculos internacionais cita informacoes obtidas agencias noticias pouca analise reflete escalada absurda violencia politica pais noticia tornou relato caso parece normal britanico cerca 60 mil homicidios ano menciona aumento assassinatos politicos pais ausencia choque noticias tao absurdas diz acontece pais atualmente percebido absurdo violencia politica virado tao frequente parece estar tornando algo normal comum parte realidade brasileira imagem pais resto mundo'
'brasilianismo radio corrupcao virou parte imagem pais','daniel buarque','30/04/2018','a consolidacao corrupcao parte marcante imagem internacional brasil tema domingo 29 apresentacao tratou poucos anos conexao problemas ilicitos politicos tornou forte passando primeiras coisas pessoas pensam imaginar pais conversa ar durante programa revista cbn'
'corrupcao problemas viram marcas imagem internacional brasil','daniel buarque','27/04/2018','ilustracao publicada rede tv cnn corrupcao brasilqual primeira coisa britanico imagina pensa brasil acordo dois ex diplomatas reino unido duas palavras resumem pais hoje corrupcao problemas serie entrevistas academicas realizadas londres ex diplomatas juntos serviram decada brasilia avaliaram situacao pais internamente termos politica externa crises quais pais vem passando ultimos anos associaram pensa brasil especialmente elite politica economica estrangeira brasil passando periodo dificil explicou entrevistados incerto vai conseguir sair serie problemas encontra avaliacao muitas dificuldades economicas inseguranca politica eleicao presidencial chegando ninguem sabe vai acontecer tambem sentimento tensoes sociais estao sendo tratadas torna futuro tanto opaco ninguem sabe exatamente vai acontecer futuro disse apesar tom negativo deste resumo pais observadores externos avaliam preciso pensar historia brasil longo prazo possivel momento atual parte melhora situacao pais segundo outro ex diplomata ouvido corrupcao afeta imagem brasil existe certa esperanca movimento contra faca bem pais brasil sempre aceitou impunidade diz respeito comportamento pessoas elite politica negocios agora complementa pais entrou investigacoes corrupcao surpreendentes aconteceram qualquer lugar mundo democratico extraordinario mudara forma pessoas veem brasil avaliou impacto economia pais bem reputacao avaliacao problemas brasil reflete pensam diplomatas politicos empresarios estrangeiros atentos pais avaliacao populacao geral estereotipos tradicionais continuam marcando imagem brasil pessoas ruas provavelmente impressao ligeiramente diferente pessoas sempre souberam brasil terra samba mar sexo imagem cultural positiva disse ex diplomatas entrevistados'
