@relation TEXTvsAUTHOR

@attribute title string
@attribute Class {"daniel buarque", "josias souza", "leonardo sakamoto", "carlos melo"}
@attribute date string
@attribute content string

@data
'punir procurador criticar temer temeridade','josias souza','15/05/2018','o conselho nacional ministerio publico cnmp decide nesta terca feira arquiva prosseguimento processo disciplinar contra procurador lava jato carlos fernando santos lima acusado indisciplina ter reagido insinuacao michel temer segundo ex procurador geral republica rodrigo janot recebera propina denuncia lo temer leviano inconsequente calunioso escreveu carlos fernando facebook veja postagem abaixo manifestacao causou arrepios pessoas emocionam so ouvir falar liberdade expressao sonho dessas pessoas verem livres expressao alheia sobretudo expressao critica nesta segunda feira vespera pronunciamento cnmp 410 membros ministerio publico magistrados subscreveram manifesto liberdade expressao texto sustenta jogo apenas punicao procurador liberdade expressao todo ministerio publico calar membro ministerio publico impor mordaca todos integrantes anota manifesto silenciar livre expressao pensamento impede evolucao ideias contribui sedimentacao vicios critica franca aberta motor progresso acusacao indisciplina nasceu forma inusitada primeiro recorreu contra carlos fernando lula paje pt abespinhara porque procurador escrevera redes sociais topo organizacao criminosa reclamacao arquivada considerou membro forca tarefa curitiba apenas exercitara direito livre manifestacao pensamento decisao incluiu recomendacao carlos fernando abstivesse emitir juizos valor meio redes sociais esfera privada relacao politicos partidos politicos investigados lula gostou recorreu recurso realcou carlos fernando criticara tambem michel temer corregedor cnmp orlando rochadel moreira decidiu desarquivar processo fez rever decisao sobre lula julgar indisciplina cometida procurador criticar temer quer dizer escrever lula apice gangue toleravel apontar leviandades temer merece enquadramento rigoroso reaberto processo mesa conselheiro luiz fernando bandeira mello filho mal pecados ocupa cnmp poltrona representante senado casa apinhada investigados lula reclamente original preso curitiba condenado 12 anos 1 mes cadeia corrupcao lavagem dinheiro temer ofendido secundario denunciado par vezes tornou protagonista dois inqueritos suspeita corrupcao apura acusacao recebeu propinas empresas portuarias noutro investiga fim levou repasse r 10 milhoes feito departamento propinas odebrecht temer grupo politico jantar oferecido marcelo odebrecht palacio jaburu contra pano fundo punir indisciplina procurador enxerga liberdade expressao direito concessao autoridades retrocesso fazer processo carlos fernando acusado reagir leviandade temer temeridade trocadilho favor procurador juiz tese so fala autos grande medida sucesso lava jato deve capacidade procuradores comunicar sociedade julgamento desta terca cnmp interessa todos brasileiros julgam ter direito estado moralmente sustentavel estado onde liberdade expressao monopolio daqueles dificuldade exprimir hora sao chamados explicar envolvimento crimes poder'
'mau agouro temer pede caneco time tite','josias souza','15/05/2018','sob michel temer pode torcer paz tite mal havia anunciado nomes 23 presidente correu redes sociais selecao copa mundo russia escreveu antes fazer encomenda agora tite equipe todo respeito anfitrioes amigos russos humildade favor tragam caneco casa hummm selecao copa mundo russia agora tite equipe todo respeito anfitrioes amigos russos humildade favor tragam caneco casa michel temer micheltemer misturar bola faixa presidencial boa coisa portador faixa presidente impopular brasil pos redemocratizacao ai mistura transforma sinal mau agouro gestos teatrais mesoclises temer parece fanatico futebol contrario passa impressao gra fina nelson rodrigues personagem interessava tao pouco arte gramados entrasse estadio indagaria bola amor temer futebol duvidoso comentario deixou boiando ar certeza vencida copa inquilino planalto enrolara bandeira fara embaixadas campeoes salao nobre planalto fabricar identificacao conquista caneco ocaso governo considerando sete cada dez brasileiros gostariam mostrar cartao vermelho presidente corre risco parte torcida imaginar cruzamentos william colocarao temer cara gol neymar so faltava torcida sentimento culpa ultima tentou tirar proveito politico escrete dilma rousseff ouviu vaias xingamentos abertura copa terminou traumatico alemanha 7 x 1 brasil'
'futuro pais maos desalentados','josias souza','15/05/2018','saiu nova pesquisa cnt mda resultado consolida percepcao triste futuro brasil maos eleitores desalentados grupo divide dois 29 6 desanimados dizem anularao voto votarao branco 16 1 desnorteados declaram estao indecisos juntos desanimados desnorteados somam cenario provavel lula 45 7 eleitorado somando tres candidatos bem postos pesquisa bolsonaro marina ciro chega percentual menor 38 5 veja bem 45 7 eleitores candidato resolvessem juntar apoiar candidatura joao anzois presidenciavel ficticio entraria disputa votos bolsonaro marina ciro somandos triste desse cenario seguinte cinco meses alguns dias eleicao quase metade eleitorado informa sente representada nenhum candidatos oferecidos partidos nelson rodrigues velho cronista escreveu multidao algo fluvial lerdo escoamento ultimas pesquisas eleitorais revelam eleitorado brasileiro escoa lentamente direcao brejo acha sabe fazendo coloca topo ranking lula preso curitiba bolsonaro preso algum lugar paleolitica sabe fazer tranca rancores sonegando votos candidatos incapazes articular algo pareca rumo triste cenario'
'aecio inspira plano camuflagem psdb','josias souza','14/05/2018','ao perceber eleitor mineiro presenca espirito aturar aecio neves psdb impos correligionario ilustre ausencia corpo ato senador antonio anastasia governo minas gerais anos ter entrado politica poste aecio anastasia receia eletrocutado padrinho desencapado coube presidente estadual psdb deputado federal domingo savio falar nome invisivel aecio preferiu comparecer disse savio porque compromisso minas pode acusar tucanato tudo menos falta originalidade todos imaginavam so envio aecio conselho etica poderia redimir partido psdb faz favor ensinar brasil hipocrisia tambem forma comprometimento ideia redecorar partido transportando aecio vitrine fundo loja extraordinaria tao boa deveria ficar restrita minas gerais plano camuflagem precisa estendido outros estados pode pintar paulo preto invisivel exemplo assim operador tucanato sao paulo precisaria habeas corpus gilmar mendes pensar milhoes vezes antes contar sabe sobre dinheiro voou suica bahamas'
'pesquisa transfere geraldo alckmin uti','josias souza','14/05/2018','dando credito pesquisa cnt mda nesta segunda feira candidatura geraldo alckmin transferida enfermaria uti onde quer olhe sondagem apresenta dados negativos presidenciavel tucano unica coisa subiu aversao alckmin dois meses taxa rejeicao cresceu cinco pontos percetuais batendo notaveis 55 9 quer dizer metade eleitorado brasileiro informa jamais votaria presidenciavel tucano pesquisa espontanea entrevistado revela preferencia receber cartela opcoes alckmin deslizou 1 4 1 2 sondagem estimulada caiu 8 6 5 3 cenario lula perde jair bolsonaro 18 3 marina silva 11 2 ciro gomes 9 tucano so quinta colocacao porque joaquim barbosa retirou disputa hipotetico segundo turno alckmin derrotado lula bolsonaro marina silva chegaria urnas tecnicamente empatado ciro gomes ambiciona conquistar condicao alternativa presidencial viavel centro politico alckmin exibe colecao precaria dados indicadores sao tao sofriveis parecem aproximar candidato fiasco estimulo leve rivais conservadores unirem torno existencia grande numero eleitores candidato indica conjuntura eleitoral movel contudo alckmin virar anti alckmin dar salto derreter taxa rejeicao ganhar carisma nunca exibir programa encantador livrar suspeita tenta empurrar investigacoes barriga parece desafio grande demais obtido 153 dias faltam eleicao'
'Orfaos cunha juntam assombrar 2018','josias souza','14/05/2018','o fantasma centrao ocupa novamente noticiario Orfaos eduardo cunha partidos integram grupo reorganizam assombrar sucessao presidencial 2018 pretexto assegurar governabilidade equipam impor proximo presidente especie projeto centrao poder baseia ocupacao predatoria estado origem centrao chamava criado fevereiro 2014 eduardo cunha entao lider pmdb cercou asfixiou gestao dilma rousseff estrutura colecionada grupo engrenagem governamental deslizou suavemente administracao petista gestao michel temer agora deseja sequestrar proximo presidente antes eleicao gravitando esmo redor presidenciaveis conseguem atravessar fronteira dois digitos pesquisas partidos pp psd solidariedade prb ensaiam junho movimento adesao candidato centro direita bem posto sondagens eleitorais participa costura rodrigo maia dem cuja candidatura planalto empolga 1 eleitorado tempos aureos centrao reuniu 12 partidos pp pr psd prb psc ptb solidariedade phs pros psl ptn pen isolados piavam pouco juntos gritaram ajudando eleger eduardo cunha presidencia camara derrocada cunha estimulou fantasia grupo derreteria passou extorquir governo temer crivado denuncias pagou fatura dna centrao gravada expressao dando recebe retirada oracao sao francisco passou simbolizar pratica profana exigencia vantagens licitas ilicitas troca apoio politico legislativo lancou moda deputado roberto cardoso alves 1927 1996 pmdb sao paulo cardosao conhecido intimidade inaugurou faccao franciscana fisiologismo marco 1988 epoca congresso constituinte discutia prorrogacao mandato entao presidente jose sarney cinco anos dando sarney recebeu moda perdura ate agora ano passado temer tambem dar receber camara bencao congelamento duas denuncias criminais intervalo 20 anos vocabulo governabilidade ganhou sentido virou outro nome safadeza gandaia corrupcao serve alibi politicos invadam cofres publicos anomalia marcou todos governos desde redemocratizacao ganhou escala industrial sob lula dilma imaginou lava jato encurralaria pedaco arcaico politica maio 2016 tomou posse temer disse discurso moral publica permanentemente buscada governo afirmou lava jato referencia combate corrupcao protecao contra qualquer tentativa enfraquece la palavras temer viraram po lama hoje deputado carlos marun exibe vitrine planalto estampa trator obvias vinculacoes politicas centrao truculenta atuacao milicia tentou salvar mandato eduardo cunha tornou especie simbolo ocaso governo temer serve ministro chefe coordenacao politica E contra pano fundo partidos centrao movendo sempre grandeza vista curta sutiliza elefante reagrupa tentar assegurar antes abertura urnas melado continuara escorrendo 2019'
'candidaturas dilma aecio sobem telhado','josias souza','13/05/2018','o eleitorado mineiro pode privado emocionantes embates temporada eleitoral 2018 considerando expressao adversarios briga talvez atraisse atencao todo pais contudo subiram telhado candidaturas dilma rousseff aecio neves senado minas gerais pt psdb cogitam serio hipotese excluir dupla respectivas chapas majoritarias certeza quanto possibilidade dois concorrerem camara prevalecer conveniencia partidos dilma aecio terao chance reeditar assim dizer briga patio escola travaram sucessao 2014 disputa senado poderiam ate participar debates exclusao confirmada plateia perdera oportunidade assistir propaganda eleitoral empafia peroba aecio ego inarticulado dilma eleitor tambem perdera chance fazer justica proprios dedos caso aecio maior interessado expurgo suprema ironia afilhado politico antonio anastasia posto sossego senado mandato senador valido ate 2022 anastasia empurrado contragosto psdb candidatura governo minas pesquisas encomendadas tucanato revelaram presenca aecio palanque radioativa manta chumbo protegeria anastasia emissoes raios jbs quanto dilma risco riscada chapa decorre necessidade atrair aliados coligacao fernando pimentel petista tenta reeleger governador mineiro pimentel reivindica apoio legendas mdb pr pv prb entram negociacao duas vagas candidatos senado disponiveis chapa ironicamente dilma pode banida disputa ex companheiro armas conheceu pimentel trincheira contra ditadura eventual exclusao aecio urnas 2018 triunfo imoralidade sobre encenacao pose impoluta rendeu grao duque tucanato derrota sabor vitoria 2014 dissolvida grampo exibe dialogo vadio ex bom moco achacou joesley batista r 2 milhoes lider oposicao aecio reduzido condicao torvo partidario retirada dilma baralho reducao fabula supergerente inexpressividade essencial antes passar vexame minas ex presidente havia sido refugada pt gaucho sucede dilma oposto passa lula inelegivel preso criador continua sendo apresentado candidato planalto deposta sessao senado preservou direitos politicos dilma pode ficar candidatura senado sendo perfeitamente elegivel'
'depoimento filha temer pf gelatinoso','josias souza','19/05/2018','intimada policia federal explicar origem dinheiro financiou reforma casa psicologa maristela temer filha michel temer prestou consistencia gelatina antes interrogatorio investigadores suspeitavam reforma paga dinheiro propina suspeitas aumentaram maristela inquirida 3 maio so agora coisa veio luz contou temer indicou auxilia la reforma amigo faz tudo joao baptista lima coronel aposentado pm paulista E personagem delatores jbs afirmam ter repassado pedido temer propina r 1 milhao depoente disse ter comparecido reuniao argeplan empresa coronel lima participou encontro mulher anfitriao maria rita fratezi tocou obra maristela sustenta madame apenas ajudou nessa versao trabalho maria rita gratuito existe contrato maristela temer reconhece maria rita realizou pagamentos fornecedores vezes dinheiro vivo jura ter devolvido dinheiro sabe precisar forma ressarcimento algumas ocasioes pagava especie dinheiro recebido pacientes outras emitia cheques resumo maristela quer pf acredite seguinte versao maria rita mulher coronel lima trabalhou obra receber tostao furado tirou dinheiro propria bolsa bolso marido pagar fornecedores devidamente ressarcida vestigio comprovantes maristela temer transformar depoimento conto comecaria texto assim vez considerando consistencia gelatinosa enredo pf receia possivel encerrar tradicional todos felizes sempre'
'herdeiro jose alencar entra jogo 2018','josias souza','19/05/2018','o empresario josue gomes silva presidente coteminas gigante setor textil manifestou conversas privadas desejo participar sucessao presidencial 2018 embora herdeiro jose alencar ex vice presidente lula josue migrou mdb pr move direcao bloco partidario centro direita reune dem pp prb solidariedade declarou lideres grupo dispoe concorrer vice ate candidato planalto dialogo cuidadoso pois bloco dispoe tres presidenciaveis declarados rodrigo maia dem aldo rebelo solidariedade flavio rocha prb nenhum alcou voo pesquisas todos mantem raia candidaturas menos objetivo retorico interlocutores josue gomes rodrigo maia presidente camara diz amigos bloco partidario deve atuar conjuntamente preve definicao sobre nome candidato deve ficar julho celebra algo positivo entrada cena presidente coteminas participacao josue condicionada posicao pr legenda filiou ex presidiario mensalao valdemar costa neto controla partido qualquer decisao passa valdemar autorizou pr integrar bloco reune dem tres partidos chamado centrao tambem deixou claro pensa sobre participacao josue processo sucessorio prioridade valdemar eleger deputados federais numero deputados serve base rateio fundo partidario tempo tv maior bancada dinheiro espaco vitrine eletronica resto bancada volumosa aumentaria poder barganha pr exercicio especialidade fisiologismo todas razoes valdemar diz correligionarios quer desperdicar verbas fundo financiamento eleitoral campanha planalto todo poderoso pr pode abrir excecao caso desejo participacao josue envolva disposicao abrir proprio bolso lei permite autofinanciamento herdeiro jose alencar dispoe saldo medio bem acima media'
'gilmar solta 4 bretas mandara prender','josias souza','19/05/2018','o ministro gilmar mendes supremo complementou nesta sexta feira empreitada iniciara terca libertar milton lyra operador mdb desvios fundos pensao magistrado estendeu providencia outros quatro investigados abrindo celas marcelo sereno adeilson ribeiro telles carlos alberto valadares perereira ricardo siqueira rodrigues sereno ex secretario nacional comunicacao pt assessorou jose dirceu casa civil primeiro mandato lula ribeiro telles atuou postalis fundo pensao correios valadares pereira serpro empresa estatal tecnologia informacao siqueira rodrigues identificado autos operador mercado financeiro todos haviam sido presos mes passado operacao rizoma apura desvios recursos fundos pensao mandados prisao expedidos juiz marcelo bretas 7a vara federal rio gilmar substituiu prisao preventiva medidas cautelares coisa leve acusados poderao conversar si estao proibidos deixar pais semana passada procuradora geral republica raquel dodge enviara parecer gilmar mendes texto posicionara contra libertacao milton lyra puxou fila dodge encarceramento lyra demais justicava tres razoes assegurar ordem publica aplicacao lei penal alem resguardar investigacao criminal gilmar deu ombros'
